model,term,term_key,or,ci_low,ci_high,p_value,n
未调整,多重用药（≥5种）,polypharmacy,1.455,1.11,1.908,0.007,883
多变量调整,多重用药（≥5种）,polypharmacy,1.373,1.006,1.873,0.046,842
多变量调整,年龄（每增加1岁）,age,1.028,1.013,1.044,<0.001,842
多变量调整,男性,sex_male,1.815,1.273,2.586,<0.001,842
多变量调整,BMI（每增加1 kg/m²）,bmi,0.975,0.945,1.007,0.131,842
多变量调整,MELD-Na（每增加1分）,meld_na,1.062,1.032,1.094,<0.001,842
多变量调整,病因：未分类,etiology_未分类,1.24,0.698,2.203,0.464,842
多变量调整,病因：混合病因,etiology_混合病因,2.575,1.434,4.621,0.002,842
多变量调整,病因：病毒性,etiology_病毒性,0.596,0.374,0.952,0.030,842
多变量调整,病因：胆汁淤积性,etiology_胆汁淤积性,0.942,0.511,1.737,0.848,842
多变量调整,病因：自身免疫性,etiology_自身免疫性,1.133,0.691,1.857,0.620,842
多变量调整,病因：酒精性,etiology_酒精性,5.81,3.355,10.06,<0.001,842
