variable,overall,group0,group1,group0_label,group1_label,p_value
年龄，岁,64.0 (57.0-70.0),63.0 (54.2-68.0),65.0 (57.0-71.0),非多重用药,多重用药,<0.001
男性,417 (47.2%),181 (51.7%),236 (44.3%),非多重用药,多重用药,0.030
BMI，kg/m²,23.7 (20.9-27.1),24.2 (21.5-27.3),23.4 (20.6-27.0),非多重用药,多重用药,0.009
用药数量，种,5.0 (4.0-7.0),3.0 (2.0-4.0),6.0 (5.0-8.0),非多重用药,多重用药,<0.001
多重用药（≥5种）,533 (60.4%),0 (0.0%),533 (100.0%),非多重用药,多重用药,<0.001
RFH-NPT评分,2.0 (0.0-6.0),1.0 (0.0-5.0),2.0 (1.0-6.0),非多重用药,多重用药,<0.001
高营养不良风险（RFH-NPT≥2）,451 (51.1%),159 (45.4%),292 (54.8%),非多重用药,多重用药,0.007
MELD-Na评分,8.6 (5.1-11.6),8.1 (3.8-10.4),9.1 (6.4-12.6),非多重用药,多重用药,<0.001
白蛋白，g/L,30.0 (26.0-33.0),32.0 (28.0-35.0),28.0 (25.0-32.0),非多重用药,多重用药,<0.001
血红蛋白，g/L,89.0 (70.0-108.0),87.5 (70.2-111.0),90.0 (70.0-106.0),非多重用药,多重用药,0.468
住院天数,11.0 (7.0-14.0),9.0 (7.0-13.0),12.0 (8.0-15.0),非多重用药,多重用药,<0.001
病毒性病因,162 (18.3%),79 (22.6%),83 (15.6%),非多重用药,多重用药,0.009
酒精性病因,174 (19.7%),70 (20.0%),104 (19.5%),非多重用药,多重用药,0.859
